iter	Passed	Remaining
0	0	457
1	1	470
2	3	515
3	3	474
4	8	869
5	9	745
6	9	663
7	14	916
8	18	1023
9	20	983
10	24	1082
11	24	1016
12	26	985
13	27	953
14	31	1026
15	35	1074
16	39	1125
17	44	1180
18	47	1211
19	51	1235
20	53	1228
21	58	1275
22	62	1296
23	66	1310
24	67	1284
25	70	1291
26	75	1323
27	79	1334
28	79	1297
29	83	1310
30	87	1328
31	93	1364
32	96	1366
33	98	1344
34	101	1346
35	106	1369
36	107	1346
37	110	1347
38	114	1349
39	116	1336
40	116	1308
41	121	1325
42	125	1329
43	128	1331
44	131	1331
45	134	1331
46	135	1308
47	140	1319
48	143	1319
49	146	1319
50	147	1294
51	147	1273
52	151	1274
53	152	1255
54	154	1251
55	155	1233
56	156	1216
57	159	1218
58	163	1220
59	166	1220
60	170	1229
61	174	1229
62	174	1211
63	177	1211
64	182	1219
65	186	1227
66	190	1228
67	194	1234
68	199	1246
69	206	1267
70	210	1269
71	215	1278
72	220	1291
73	226	1304
74	230	1307
75	235	1316
76	241	1326
77	247	1339
78	251	1340
79	255	1339
80	258	1338
81	264	1345
82	267	1344
83	271	1342
84	274	1340
85	280	1349
86	283	1347
87	287	1345
88	290	1341
89	296	1348
90	299	1347
91	300	1332
92	303	1329
93	307	1326
94	311	1329
95	314	1323
96	317	1320
97	321	1317
98	325	1318
99	329	1317
100	330	1306
101	334	1303
102	337	1300
103	342	1303
104	344	1295
105	347	1291
106	350	1288
107	354	1285
108	358	1287
109	362	1283
110	365	1280
111	367	1272
112	370	1270
113	374	1269
114	378	1266
115	383	1269
116	391	1280
117	399	1294
118	409	1311
119	418	1324
120	428	1342
121	444	1376
122	453	1389
123	458	1391
124	463	1390
125	467	1387
126	472	1388
127	476	1386
128	481	1384
129	487	1387
130	491	1384
131	495	1382
132	500	1381
133	505	1381
134	509	1377
135	513	1375
136	518	1373
137	522	1369
138	527	1368
139	531	1367
140	536	1365
141	540	1362
142	543	1356
143	548	1355
144	552	1352
145	557	1350
146	563	1354
147	568	1352
148	574	1353
149	585	1366
150	590	1363
151	598	1370
152	617	1400
153	627	1408
154	632	1407
155	641	1413
156	648	1415
157	652	1411
158	660	1415
159	665	1414
160	670	1411
161	676	1412
162	681	1408
163	685	1404
164	692	1406
165	698	1405
166	705	1406
167	712	1407
168	716	1402
169	723	1403
170	727	1400
171	731	1394
172	735	1390
173	736	1380
174	740	1374
175	743	1368
176	746	1362
177	750	1357
178	753	1351
179	760	1351
180	763	1345
181	769	1344
182	774	1340
183	777	1335
184	781	1330
185	788	1331
186	793	1327
187	805	1336
188	808	1330
189	814	1328
190	818	1323
191	827	1327
192	829	1319
193	833	1314
194	836	1308
195	837	1299
196	841	1293
197	845	1289
198	848	1283
199	852	1278
200	855	1272
201	859	1267
202	862	1262
203	866	1256
204	875	1259
205	883	1260
206	887	1256
207	891	1251
208	895	1246
209	899	1241
210	903	1237
211	907	1232
212	911	1228
213	914	1222
214	917	1216
215	921	1211
216	924	1205
217	927	1200
218	931	1194
219	934	1189
220	937	1183
221	940	1178
222	944	1172
223	947	1167
224	950	1162
225	953	1156
226	957	1151
227	961	1147
228	978	1158
229	986	1158
230	992	1155
231	1000	1155
232	1006	1153
233	1010	1149
234	1015	1145
235	1021	1142
236	1027	1139
237	1031	1135
238	1035	1130
239	1038	1125
240	1042	1120
241	1046	1115
242	1050	1110
243	1053	1105
244	1058	1101
245	1061	1095
246	1064	1090
247	1068	1085
248	1071	1080
249	1074	1074
250	1077	1069
251	1081	1063
252	1084	1058
253	1088	1053
254	1091	1048
255	1092	1041
256	1095	1036
257	1099	1031
258	1102	1026
259	1106	1021
260	1109	1016
261	1113	1011
262	1114	1004
263	1118	999
264	1121	994
265	1125	989
266	1128	984
267	1129	977
268	1132	972
269	1136	967
270	1139	963
271	1143	958
272	1146	953
273	1150	948
274	1154	944
275	1158	940
276	1163	936
277	1167	931
278	1171	927
279	1175	923
280	1179	919
281	1183	914
282	1187	910
283	1193	907
284	1197	903
285	1200	898
286	1204	893
287	1207	889
288	1212	885
289	1214	879
290	1218	874
291	1221	869
292	1224	865
293	1227	860
294	1230	855
295	1234	850
296	1237	845
297	1240	840
298	1243	836
299	1246	831
300	1250	826
301	1253	821
302	1256	816
303	1260	812
304	1265	808
305	1269	804
306	1273	800
307	1277	796
308	1280	791
309	1284	787
310	1287	782
311	1289	777
312	1293	772
313	1293	766
314	1296	761
315	1300	757
316	1303	752
317	1306	747
318	1310	743
319	1313	739
320	1317	734
321	1320	729
322	1323	725
323	1327	720
324	1330	716
325	1333	711
326	1336	707
327	1339	702
328	1344	698
329	1348	694
330	1349	689
331	1353	685
332	1357	680
333	1362	677
334	1367	673
335	1371	669
336	1375	665
337	1379	661
338	1383	657
339	1388	653
340	1393	649
341	1397	645
342	1400	640
343	1403	636
344	1409	633
345	1413	628
346	1416	624
347	1419	620
348	1422	615
349	1426	611
350	1429	606
351	1432	602
352	1435	597
353	1439	593
354	1442	589
355	1446	585
356	1449	580
357	1452	576
358	1456	571
359	1459	567
360	1462	563
361	1465	558
362	1468	554
363	1472	550
364	1475	545
365	1478	541
366	1479	536
367	1483	531
368	1486	527
369	1490	523
370	1493	519
371	1496	515
372	1499	510
373	1503	506
374	1506	502
375	1509	497
376	1512	493
377	1516	489
378	1519	485
379	1522	480
380	1525	476
381	1529	472
382	1532	468
383	1536	464
384	1545	461
385	1553	458
386	1557	454
387	1563	451
388	1568	447
389	1572	443
390	1576	439
391	1583	436
392	1588	432
393	1593	428
394	1597	424
395	1603	421
396	1607	416
397	1610	412
398	1613	408
399	1617	404
400	1620	400
401	1623	395
402	1627	391
403	1630	387
404	1633	383
405	1636	378
406	1640	374
407	1643	370
408	1645	366
409	1649	362
410	1652	357
411	1656	353
412	1659	349
413	1662	345
414	1665	341
415	1668	336
416	1672	332
417	1675	328
418	1678	324
419	1683	320
420	1686	316
421	1687	311
422	1690	307
423	1694	303
424	1697	299
425	1700	295
426	1704	291
427	1707	287
428	1710	283
429	1714	279
430	1718	275
431	1719	270
432	1722	266
433	1725	262
434	1729	258
435	1730	254
436	1734	250
437	1738	246
438	1740	241
439	1744	237
